customer_id,credit_score,payment_history,credit_utilization,recent_inquiries,debt_to_income_ratio,length_of_credit_history
1,850.0,97.57,0.39,1,0.84,19.13
2,705.0,90.53,0.38,2,0.83,14.49
3,675.0,82.57,0.75,3,0.21,1.82
4,378.0,56.21,0.44,5,0.27,2.25
5,487.0,55.04,0.77,1,0.51,14.71
6,526.0,83.48,0.53,2,0.07,17.49
7,787.0,88.01,0.97,0,0.41,3.59
8,850.0,75.59,0.44,1,0.56,5.7
9,604.0,64.59,0.66,4,0.48,19.09
10,637.0,96.97,0.21,3,0.23,5.14
11,660.0,80.91,0.09,0,0.49,0.66
12,659.0,72.97,0.39,1,0.13,3.81
13,469.0,88.57,0.77,4,0.61,17.17
14,686.0,52.52,0.55,4,0.35,18.92
15,622.0,96.91,0.09,3,0.91,8.65
16,706.0,63.89,0.47,4,0.92,2.2
17,572.0,77.12,1.0,0,0.06,1.33
18,507.0,60.82,0.08,1,0.51,11.51
19,595.0,71.47,0.41,1,0.9,11.95
20,446.0,92.09,0.2,1,0.52,18.57
21,602.0,87.67,0.89,0,0.23,16.76
22,598.0,85.94,0.63,1,0.25,1.88
23,612.0,68.57,0.54,2,0.32,16.64
24,665.0,85.17,0.13,0,0.51,8.06
25,662.0,90.32,0.06,0,0.72,16.89
26,507.0,66.66,0.82,2,0.38,18.12
27,525.0,60.15,0.77,1,0.99,4.71
28,727.0,64.28,0.64,5,0.44,2.61
29,503.0,71.04,0.25,0,0.08,17.25
30,406.0,98.94,0.32,2,0.01,3.6
31,587.0,96.06,0.69,0,0.0,9.85
32,544.0,74.16,0.73,1,0.9,2.12
33,508.0,91.44,0.55,2,0.74,14.02
34,508.0,50.9,0.17,0,0.26,7.57
35,583.0,70.9,0.67,1,0.44,4.86
36,488.0,93.63,0.48,3,0.99,10.58
37,478.0,98.25,0.71,2,0.83,15.14
38,571.0,90.24,0.59,2,0.13,5.29
39,573.0,64.32,0.18,1,0.91,4.79
40,587.0,53.36,0.99,2,0.64,5.49
41,486.0,51.08,0.95,3,0.6,14.95
42,530.0,86.84,0.46,2,0.26,8.05
43,440.0,79.62,0.59,0,0.66,3.58
44,611.0,51.99,0.81,2,0.96,8.97
45,732.0,68.67,0.38,2,0.21,4.74
46,585.0,61.06,0.32,4,0.88,5.71
47,541.0,87.33,0.89,0,0.02,2.05
48,789.0,89.92,0.73,3,0.91,1.69
49,505.0,81.07,0.21,3,0.21,8.07
50,671.0,86.93,0.76,1,0.72,4.07
51,511.0,68.02,0.82,3,0.49,3.63
52,850.0,96.32,0.18,1,0.22,5.29
53,635.0,80.18,0.07,0,0.23,12.78
54,624.0,89.39,0.07,0,0.02,5.12
55,572.0,61.92,0.52,4,0.97,1.76
56,590.0,92.84,0.35,6,0.9,15.13
57,568.0,77.43,0.1,2,0.4,4.62
58,571.0,92.38,0.63,1,0.96,12.06
59,574.0,62.31,0.9,6,0.32,1.16
60,552.0,63.97,0.42,2,0.52,2.75
61,430.0,97.92,0.28,1,0.08,8.23
62,778.0,60.55,0.72,1,0.26,2.31
63,590.0,98.92,0.81,2,0.41,11.08
64,713.0,58.54,0.15,1,0.29,2.37
65,622.0,93.07,0.44,1,0.26,17.27
66,590.0,95.59,0.46,2,0.76,11.25
67,601.0,70.86,0.48,3,0.81,5.04
68,477.0,60.94,0.74,0,0.51,8.38
69,494.0,92.56,0.08,0,0.29,6.19
70,469.0,66.33,0.51,2,0.88,0.68
71,614.0,54.67,0.7,3,0.69,19.37
72,647.0,72.3,0.9,3,0.72,17.81
73,687.0,75.84,0.58,2,0.62,4.86
74,511.0,74.85,0.6,2,0.96,15.35
75,557.0,57.05,0.74,2,0.03,15.4
76,558.0,92.03,0.61,1,0.71,0.98
77,671.0,84.53,0.36,1,0.29,19.25
78,488.0,76.63,0.37,2,0.71,19.62
79,485.0,69.42,0.05,4,0.26,14.65
80,605.0,81.42,0.9,1,0.19,10.39
81,505.0,89.32,0.43,2,0.05,17.78
82,741.0,60.35,0.79,2,0.5,0.87
83,470.0,81.41,0.44,1,0.43,18.26
84,447.0,55.04,0.35,1,0.62,17.42
85,731.0,62.32,0.7,4,0.22,1.57
86,781.0,89.62,0.37,4,0.87,18.1
87,567.0,57.17,0.84,5,0.71,7.81
88,656.0,96.9,0.42,2,0.66,1.98
89,484.0,54.47,0.73,3,0.46,4.82
90,477.0,99.53,0.83,1,0.15,17.46
91,620.0,86.78,0.18,1,0.08,13.64
92,475.0,99.02,0.09,0,0.0,12.16
93,637.0,61.64,0.53,2,0.7,12.34
94,558.0,66.46,0.72,1,0.34,19.52
95,548.0,83.81,0.71,0,0.17,18.4
96,708.0,89.22,0.37,2,0.07,15.46
97,553.0,86.29,1.0,2,0.16,18.8
98,562.0,77.72,0.6,1,0.94,16.85
99,490.0,93.32,0.06,3,0.93,3.11
100,850.0,62.12,0.47,2,1.0,5.52
101,479.0,54.24,0.37,1,0.78,12.7
102,600.0,58.06,0.93,2,0.78,18.75
103,695.0,57.98,0.92,2,0.66,18.09
104,511.0,66.65,0.16,3,0.77,4.18
105,487.0,65.23,0.18,1,0.95,5.92
106,560.0,98.68,0.6,2,0.39,18.78
107,655.0,89.56,0.66,2,0.32,0.68
108,719.0,83.23,0.4,3,0.67,15.69
109,530.0,82.18,0.02,1,0.33,14.37
110,621.0,97.6,0.31,3,0.08,9.69
111,453.0,74.69,0.33,1,0.79,9.01
112,549.0,95.41,0.05,0,0.39,9.53
113,539.0,98.59,0.55,1,0.13,17.93
114,613.0,97.4,0.26,2,0.32,9.53
115,688.0,74.15,0.88,1,0.69,15.12
116,771.0,90.03,0.96,3,0.54,19.6
117,467.0,84.43,0.38,0,0.49,2.76
118,422.0,84.95,0.12,3,0.1,4.21
119,446.0,52.46,0.83,4,0.71,4.51
120,578.0,69.22,0.3,4,0.32,9.97
121,378.0,51.37,0.94,2,0.89,6.09
122,472.0,67.24,0.85,2,1.0,14.01
123,563.0,64.15,0.35,4,0.8,4.78
124,779.0,78.0,0.81,1,0.48,15.17
125,507.0,95.14,0.62,4,0.09,13.64
126,850.0,73.93,0.98,4,0.9,13.57
127,464.0,68.03,0.32,0,0.7,10.24
128,706.0,99.51,0.8,1,0.94,12.4
129,506.0,69.59,0.82,2,0.32,18.09
130,685.0,90.6,0.76,2,0.56,13.66
131,534.0,97.59,0.24,0,0.26,2.68
132,709.0,77.36,0.78,4,0.98,7.91
133,585.0,90.37,0.92,0,0.32,14.08
134,579.0,52.2,0.47,0,0.75,3.35
135,685.0,55.7,0.95,4,0.05,10.35
136,652.0,75.62,0.49,1,0.47,15.99
137,588.0,73.56,0.44,3,0.23,6.81
138,687.0,67.35,0.69,2,0.66,14.67
139,548.0,74.57,0.04,0,0.39,1.88
140,792.0,57.99,0.95,2,0.66,16.53
141,679.0,65.27,0.67,2,0.96,8.73
142,826.0,81.93,0.69,4,0.28,7.69
143,524.0,72.17,0.1,4,0.99,9.71
144,616.0,80.11,0.65,0,0.56,13.37
145,592.0,76.01,0.6,3,0.04,3.29
146,561.0,70.7,0.45,3,0.04,3.74
147,459.0,75.45,0.75,1,0.13,15.56
148,672.0,94.71,0.7,2,0.28,5.19
149,668.0,85.65,0.25,7,0.25,3.44
150,560.0,65.32,0.82,1,0.11,6.51
151,806.0,58.54,0.51,1,0.2,15.67
152,557.0,98.17,0.41,0,0.48,5.48
153,653.0,78.36,0.99,3,0.13,18.88
154,670.0,84.15,0.32,1,0.46,11.23
155,524.0,80.54,0.68,2,0.49,4.45
156,620.0,89.94,0.7,1,0.38,7.61
157,761.0,59.76,0.23,6,0.29,11.14
158,603.0,51.41,0.86,3,0.42,11.62
159,614.0,79.3,1.0,5,0.44,18.09
